model,price
SC8000,1097000
FS7600,695000
FS7610,695000
FS8600,695000
SC1500,525000
SC430,525000
SC440,397000
SC1400,325000
SC1420,325000
SC1425,325000
SC1430,325000
SC1435,325000
PV136T,597000
ML6020,597000
ML6030,697000
PS6510,275000
PS6000 S - XVS,225000
PS6100 S - XVS,225000
PS6000 E - X - XV,225000
PS6100 E - X - XV,225000
ML6000,225000
ML6010,225000
NX3000,175000
NX3200,175000
PV128T,175000
PV132T,175000
TL4000,175000
PV715N,155000
NX200,155000
NX300,155000
NX400,155000
NX3300,155000
PV735N,155000
PV770N,155000
PV775N,155000
PVMD1000,155000
PVMD1120,155000
PVMD3000,155000
PVML6000,155000
PVTL4000,155000
PV200S,135000
PV220S,135000
PV221S,135000
PVTL2000,135000
PV100T,95000
PV110T,95000
PV112T,95000
PV114T,95000
PV120T,95000
PV122T,95000
PV124T,95000
PV130T,95000

ISR4431,89000
ISR4321,125000
ISR4331,125000
WS-C2960X-48TS-L,16500
ASR1002-X,85000
WS-C2960C-8TC-L,6500
WS-C2960-24TC-L,16500
WS-C2960-48TC-L,16500
WS-C2960-48TC-S,16500
Cisco C841M-8X,6500
ASA5540,85000
WS-C2960-8TC-L,16500
WS-C2960G-8TC-L,16500
WS-C3560G-24TS-S,19500
WS-C2960G-24TC-L,16500
Cisco C2811,13500
Cisco 1841,13500
CISCO ACS 1120,6500
WS-C3560-24PS-S,45000
7206VXRG2/2,19500
CISCO3845,125000
Storage - DS5020,215000
IBM System x3650,35000
ProLiant DL380 G6,35000
HPE Proliant DL360 Gen9,45000
ProLiant DL380 Gen10,45000
IBM eServer BladeCenter HS21,18500
BladeCenter HS22,18500
DellPowerEdge R750,28500
EMERSON NETWORK POWER 20 KVA UPS,18000
Jakson JSPF-125 FL,19000
HP/ELITE/8100,1290
DELL/Optiplex/3050,1290
DELL/Optiplex/3060,1290
LENOVO/M72e,1290
LENOVO/M73,1290
HP/ELITE/8200,1290
HP/COMPAQ/DX2280/MT,1290
HP/COMPAQ/DX7380/MT,1900
DELL/Precision/5820,35000
Dell/Vostro/3671,3500
HP/PRODESK/400/G6,3500
HP/ProBook/440/G8,14000
DELL/Latitude/3480,14000
POWER ONE/650VA,1850
ZEBRONIC/ZEB-U775,1850
NETSTAR/Netstar 800,2250
HP/LaserJet/P1108,175
HP/LaserJet/P1606/dn,175
HP/LaserJet/Pro/M203/dn,175
HP/LaserJet/Pro/M202dw,175
HP/LaserJet/P1505n,175
HP/ScanJet/5590,400
HP/ScanJet/G2410,400
CANON/MF3010,4500
CANON/MF244/DW,4500
LEXMARK/B2236DW,3500
XEROX/WORKCENTER/3025,4500
N9K-C9396PX,390000
N9K-C9372TX-E,390000


FGL1930XA5T,2130
FGL1930XA5W,2130
FGL2007X14U,2130
FGL2007X15G,2130
FGL2007X14T,2130
FGL2007X14W,2130
FGL2020X2K7,2130
FGL2020X2K8,2130
FGL2020X2K9,2130
FGL2020X2KA,2130
FGL2020X2KB,2130
FGL2020X2KC,2130
FGL2020X2KD,2130
FGL2020X2KE,2130
FGL2020X2KF,2130
FGL2020X2KG,2130
FGL2020X2JR,2130
FGL2020X2JS,2130
FGL2020X2JT,2130
FGL2020X2JU,2130
FGL2020X2JV,2130
FGL2020X2JW,2130
FGL2020X2KY,2130
FGL2020X2KZ,2130
FGL2020X2L0,2130
FGL2020X2L1,2130
FGL2020X2L5,2130
FGL2020X2L6,2130
FGL2020X2LA,2130
FGL2020X2LB,2130
FGL2020X2LC,2130
FGL2020X2LD,2130
FGL2020X2KH,2130
FGL2020X2KJ,2130
FGL2020X2KL,2130
FGL2020X2JX,2130
FGL2020X2JZ,2130
FGL2020X2K5,2130
FGL2020X2K6,2130
FGL2021X9TD,2130
FGL2021X9TE,2130
FGL2021X9TG,2130
FGL2021X9TK,2130
FGL2021X9TL,2130
FGL2021X9TM,2130
FGL2021X9TN,2130
FGL2021X9TP,2130
FGL2021X9TQ,2130
FGL2021X9TR,2130
FGL2021X9TS,2130
FGL2021X9TT,2130
FGL2021X9TU,2130
FGL2021X9UD,2130
FGL2021X9UE,2130
FGL2021X9UF,2130
FGL2021X9UG,2130
FGL2021X9UH,2130
FGL2021X9UK,2130
FGL2021X9UN,2130
FGL2021X9UP,2130
FGL2021X9UQ,2130
FGL2021X9UR,2130
FGL2021X9US,2130
FGL2021X9UT,2130
FGL2021X9UU,2130
FGL2021X9UV,2130
FGL2021X9UW,2130
FGL2021X9UX,2130
FGL2021X9UY,2130
FGL2021X9V0,2130
FGL2021X9V1,2130
FGL2021X9V2,2130
FGL2021X9V3,2130
FGL2021X9V4,2130
FGL2021X9V5,2130
FGL2021X9VC,2130
FGL2021X9VD,2130
FGL2021X9VE,2130
FGL2021X9VF,2130
FGL2021X9VG,2130
FGL2021X9VH,2130
FGL2021X9VQ,2130
FGL2021X9VR,2130
FGL2021X9VS,2130
FGL2021X9VT,2130
FGL2021X9VU,2130
FGL2021X9VV,2130
FGL2021X9W2,2130
FGL2021X9W3,2130
FGL2021X9W4,2130
FGL2021X9W5,2130
FGL2021X9W6,2130
FGL2021X9W7,2130
FGL2021X9WD,2130
FGL2021X9WF,2130
FGL2021X9WG,2130
FGL2021X9WH,2130
FGL2021X9WJ,2130
FGL2021X9WK,2130
FGL2021X9WM,2130
FGL2021X9WN,2130
FGL2021X9WR,2130
FGL2021X9WZ,2130
FGL2021X9X1,2130
FGL2021X9X3,2130
FGL2021X9X4,2130
FGL2021X9X5,2130
FGL2021X9X6,2130
FGL2021X9X7,2130
FGL2021X9X8,2130
FGL2021X9X9,2130
FGL2021X9XA,2130
FGL2021X9XB,2130
FGL2021X9XC,2130
FGL2021XA1G,2130
FGL2021XA1H,2130
FGL2021XA1J,2130
FGL2021XA1N,2130
FGL2021XA1P,2130
FGL2021XA1Q,2130
FGL2021XA1Y,2130
FGL2021XA21,2130
FGL2021XA22,2130
FGL2021XA23,2130
FGL2022X07U,2130
FGL2022X07V,2130
FGL2022X07Y,2130
FGL2022X07Z,2130
FGL2022X080,2130
FGL2022X081,2130
FOX1848G5FP,8500
FOX1848G5DY,33590
FDO1748R00H,163340

ASA 5545,42500
ASA 5545,42500
ASA 5545,42500
ASA 5545,42500
ASA 5545,42500
ASA 5545,42500
ASA 5545,42500
ASA 5545,42500
ASA 5545,42500
ASA 5545,42500
BE7000M,38500
BE7000M,38500
BE7000M,38500
BE7000M,38500
BE7000M,38500
Cisco ISR4431-V/K9,67000
Cisco ISR4431-V/K9,67000
Cisco ISR4431-V/K9,67000
Cisco ISR4431-V/K9,67000
Cisco ISR4431-V/K9,67000
Cisco VG350/K9,38500
Cisco VG350/K9,38500
Cisco VG350/K9,38500
Cisco VG350/K9,38500
Cisco VG350/K9,38500
CTI-CMS-1K-BUN-K9,0
CTI-CMS-1K-BUN-K9,0
CTI-CMS-1K-BUN-K9,0
Firepower 4110,816700
Firepower 4110,816700
Firepower 4110,816700
FMC 4500,115000
FMC 4500,115000
ISR4431,115000
ISR4431,115000
ISR4431,115000
Nexus1000V,0
Nexus1000V,0

181M9W2,32000
528S9P2,9700
526T9P2,9700
525W9P2,9700
523V9P2,9700
5241BP2,9700
HSQQ7N2,6700
HSRKLN2,6700
B52BNK2,10800
FZVQXJ2,10800
H8ZLXJ2,10800
H8YRXJ2,10800
8NPRXJ2,6900
8NPQXJ2,6900
7QVTDV2,6800
2VP4RG2,9700
DFRSXX1,9700
DX0T7R1,8900
8CG9177PWQ,1090
1618NM103L,145000
7LJ0B33,32000
5GKG703,12800
WV12MP0578,0
HUJ7489NN4,55000
99A4254,9700
HJJM8T2,150000
86JJHJ2,150000
FB89822,125000
SGH550WH89,125000
SGH550WH8C,125000
SGH48230XA,125000
SGH3301E69,125000
HQBPDB2,97000
5L9S6Q1,75000
8D9G4Y1,75000
2S6251B098,75000
HSBLVTXNAS,75000
C13MD2S,55000
5C7337P0CL,52060
DBS8B2S,45000
7GDYLZ1,45000
3XFTPQ1 / 35GD5P1,32000
2M9M8R1,32000
C7BTVQ1,32000
5GCRDV2,32000
5GCYDV2,32000
HRPX6T2,32000
HRRT6T2,32000
HVD07T2,32000
HRQY6T2,32000
JBCMLN2,32000
JB7Q7N2,32000
JB7NLN2,32000
JBBPLN2,32000
JB7V7N2,32000
J9TKLN2,32000
J9TMLN2,32000
JB6V7N2,32000
J9SP7N2,32000
JBBS7N2,32000
JBCKLN2,32000
J9TN7N2,320001212,1212
